Ime,Znamka,Količina,Cena,Originalna cena,Popust,Prednosti
L-fenilalanin 1000 mg,Vita World,120 tablet,19.99 €,,,"['v naravni L obliki', 'aminokislina', 'gradnik beljakovin']"
3x Magnezij + Kalcijev L-Treonat,OnEnergy,skupaj 540 kapsul,47.99 €,68.97 €,-30%,"['2 obliki magnezija', 'živčevje + mišice + kosti', 'zmanjševanje utrujenosti']"
"Protein shake BIO, okus jagoda + kokos",Dragon Superfoods,450 g,21.49 €,,,"['s sladilom eritritol', '50 % rastlinskih beljakovin', 'brez umetnih arom']"
Magnezijev klorid - kristali za kopel za noge,Zechsal,750 g,12.99 €,,,"['sprostitev in poživitev', 'za različne kopeli', 'zlahka se raztopi']"
Kreatin monohidrat,QNT,300 g,19.99 €,,,"['telesna zmogljivost', 'super za intenzivne vadbe', 'enostavna priprava']"
3x BCAA 2:1:1 – gozdni sadeži,OnEnergy,skupaj 1500 g,53.99 €,74.97 €,-28%,"['prah za pripravo napitka', 'za pred in po vadbi', 'levcin +\xa0izolevcin + valin']"
WHEY XXL proteini iz sirotke – jagoda in banana,AllNutrition,2270 g,69.99 €,,,"['za mišice', 'visoka vsebnost beljakovin', 'za okusen proteinski shake']"
CLA Extra,NewFood,60 kapsul,6.99 €,10.99 €,-36%,"['naravna formula', 'konjugirana linolna kislina iz olja semen žafranike', 'znižano zaradi roka uporabe']"
3x Črni ingver – izvleček,HealthyWorld®,skupaj 360 kapsul,53.99 €,68.97 €,-22%,"['Kaempferia parviflora', '100 mg ingverja v 1 kapsuli', 'priljubljen med športniki, pari ...']"
Sinefrin 30 mg,Genius Nutrition,60 tablet,12.99 €,,,"['naravni alkaloid', 'iz plodov grenke pomaranče', 'brez glutena in laktoze']"
Veganski Alpha EAA – vzorci vseh okusov,ProFuel,10 vrečk,18.99 €,,,"['za pred, med in po treningu', 'vzorci vseh okusov', '8 esencialnih aminokislin']"
3x Zeleni čaj 600 mg – izvleček,OnEnergy,skupaj 360 kapsul,41.99 €,59.97 €,-30%,"['600 mg v 2 kapsulah', 'z izvlečkom zelene kave', 'vsebuje kofein']"
Veganski BCAA 2:1:1,ProFuel,300 kapsul,27.99 €,,,"['esencialne aminokisline', 'L-levcin + L-izolevcin + L-valin', 'za fizično aktivne']"
Kick – Pre-Workout napitek,QNT,250 ml,1.99 €,,,"['za koncentracijo in vzdržljivost', 'primerno za športnike', 'okus limona-limeta']"
